บัญชีรายการวัสดุสิ้นเปลืองประจำปีงบประมาณ พ.ศ. 2567,,,
แนบท้ายประกาศมหาวิทยาลัยราชภัฏเลย ฉบับลงวันที่ 6 มิถุนายน 2567,,,
,,,
ลำดับ,รายการวัสดุ,หน่วยนับ, ราคากลาง 
กระดาษ,,,
1,กระดาษถ่ายเอกสาร ขนาด A3 80g.,รีม, 285.00 
2,กระดาษถ่ายเอกสาร ขนาด A4 70 g.,รีม, 115.00 
3,กระดาษถ่ายเอกสาร ขนาด A4 80 g.,รีม, 125.00 
4,กระดาษถ่ายเอกสาร ขนาด F4 80 g.,รีม, 170.00 
5,กระดาษถ่ายเอกสาร ขนาด F14 80 g.,รีม, 195.00 
6,กระดาษชาร์ท สี,แผ่น, 15.00 
7,กระดาษการ์ดขาว ขนาด A4 120g.,ห่อ, 150.00 
8,กระดาษการ์ดขาว ขนาด A4 150g.,ห่อ, 80.00 
9,กระดาษการ์ดขาว ขนาด A4 180g.,ห่อ, 180.00 
10,กระดาษการ์ดขาว ขนาด A4 210g.,ห่อ, 100.00 
11,กระดาษทำปกการ์ดหอม A4 180g.,ห่อ, 200.00 
12,กระดาษทำปก คละสี A4 120g.,ห่อ, 150.00 
13,กระดาษทำปก คละสี A4 150g.,ห่อ, 130.00 
14,กระดาษทำปก คละสี A4 160g.,ห่อ, 180.00 
15,กระดาษทำปกหนังช้าง A3 180g.,ห่อ, 250.00 
16,กระดาษทำปกหนังช้าง A4 180g.,ห่อ, 150.00 
17,กระดาษปอนด์บวกเลข (57*54 มม.) (1/10 ม้วน),แพ็ค, 120.00 
18,กระดาษทำเกียรติบัตรขอบทอง A4,ห่อ, 250.00 
19,กระดาษแบงค์สี A4 60g,ห่อ, 300.00 
20,กระดาษแบงค์สี A4 120g,ห่อ, 350.00 
21,กระดาษสติ๊กเกอร์ A4 ขาวด้าน,ห่อ, 250.00 
22,กระดาษสติ๊กเกอร์ A4 ขาวมัน,ห่อ, 250.00 
23,กระดาษปรู๊ฟ,แผ่น, 5.00 
24,"กระดาษคาร์บอน ดำ, น้ำเงิน",ห่อ, 150.00 
25,กระดาษ Photo inkjet 120g,ห่อ, 200.00 
26,กระดาษ Photo inkjet 150g,ห่อ, 220.00 
27,กระดาษ Photo inkjet 180g,ห่อ, 500.00 
28,กระดาษ Photo inkjet 210g,ห่อ, 320.00 
กระดานไวท์บอร์ด,,,
29,กระดานไวท์บอร์ด (WhiteBoard) ขนาด 30 * 40 cm.,อัน, 150.00 
30,กระดานไวท์บอร์ด (WhiteBoard) ขนาด 40 * 60 cm.,อัน, 250.00 
31,กระดานไวท์บอร์ด (WhiteBoard) ขนาด 60 * 80 cm.,อัน, 350.00 
กล่องล้อพลาสติก,,,
32,กล่องล้อพลาสติกอเนกประสงค์ No.300 (ขนาด 31*41.6*22.6 cm.) ความจุ 16 ลิตร,กล่อง, 220.00 
33,กล่องล้อพลาสติกอเนกประสงค์ No.301 (ขนาด 36.5*49*27 cm.) ความจุ 30 ลิตร,กล่อง, 300.00 
34,กล่องล้อพลาสติกอเนกประสงค์ No.302 (ขนาด 41*59*33 cm.) ความจุ 45 ลิตร,กล่อง, 390.00 
35,กล่องล้อพลาสติกอเนกประสงค์ No.303 (ขนาด 49*70*41 cm.) ความจุ 100 ลิตร,กล่อง, 550.00 
ตู้เอกสาร,,,
36,ตู้เอกสาร 3 ชั้น แบบพลาสติก คละสี,ตัว, 800.00 
37,ตู้เอกสาร 5 ชั้น แบบพลาสติก คละสี,ตัว, 750.00 
กาว,,,
38,กาวลาเท็กซ์ TOA ขนาด 4 ออนซ์,กระปุก, 30.00 
39,กาวลาเท็กซ์ TOA ขนาด 8 ออนซ์,กระปุก, 55.00 
40,กาวลาเท็กซ์ TOA ขนาด 16 ออนซ์,กระปุก, 40.00 
41,กาวลาเท็กซ์ TOA ขนาด 32 ออนซ์,กระปุก, 80.00 
42,กาวแท่ง UHU Stic ขนาด 8.2g,แท่ง, 45.00 
43,กาวแท่ง UHU Stic ขนาด 21g,แท่ง, 85.00 
44,กาวแท่ง UHU Stic ขนาด 40g,แท่ง, 105.00 
45,กาวน้ำ ขวดกลม ขนาด 50 ml.,ขวด, 35.00 
